Month,Year,Plan Month,Plan Year,Total Medical Claims,Total Rx Claims,Total Paid Claims,Adjusted Total Expenses,EE Count,Member Count,Client
5,2018,8,3,744437.57,308009.11,1052446.68,1006501.6,1242,2804,Epic
6,2018,9,3,477539.14,245712.4,723251.54,858042.53,1241,2792,Epic
7,2018,10,3,514402.49,255381.59,769784.08,870510.38,1243,2790,Epic
8,2018,11,3,763943.63,249903.9,1013847.53,952479.26,1242,2809,Epic
9,2018,12,3,697807.35,243003.52,940810.87,1063984.82,1253,2792,Epic
7,2013,1,1,260117,37611.23,297728.23,385305.2167,313,838,Fairchild
8,2013,2,1,206611.12,47693.84,254304.96,342203.0933,313,845,Fairchild
9,2013,3,1,692324.33,46799.09,739123.42,827049.86,312,846,Fairchild
10,2013,4,1,314582.39,58639.06,373221.45,460694.8233,311,836,Fairchild
11,2013,5,1,418261.54,47105.94,465367.48,552422.6267,309,832,Fairchild
12,2013,6,1,336441.35,43300.22,379741.57,467231.49,310,828,Fairchild
1,2014,7,1,431094.78,37051.41,468146.19,560243.2433,311,848,Fairchild
2,2014,8,1,630953.52,45955,676908.52,760249.3033,314,848,Fairchild
3,2014,9,1,507191.54,50954.84,558146.38,650777.8767,314,847,Fairchild
4,2014,10,1,547215.74,46323,593538.74,686364.8033,315,857,Fairchild
5,2014,11,1,671403.64,45712,717115.64,736318.36,313,846,Fairchild
6,2014,12,1,536919.5,43587,580506.5,621488.4667,311,835,Fairchild
7,2014,1,2,292756.01,48350.34,341106.35,416811.63,312,852,Fairchild
8,2014,2,2,404776.07,45134.82,449910.89,358412.9867,321,865,Fairchild
9,2014,3,2,289538.84,40395.79,329934.63,407836.59,323,864,Fairchild
10,2014,4,2,390159.18,38439.76,428598.94,501596.9567,321,886,Fairchild
11,2014,5,2,497615.04,57195.94,554810.98,623489.5467,325,910,Fairchild
12,2014,6,2,510438.91,41712.88,552151.79,546407.1367,328,916,Fairchild
1,2015,7,2,357297.91,52548.82,409846.73,488335.35,331,919,Fairchild
2,2015,8,2,592985.79,67380.48,660366.27,728256.17,328,905,Fairchild
3,2015,9,2,301973.48,73657.38,375630.86,453755.6,329,913,Fairchild
4,2015,10,2,408805.76,90719.07,499524.83,578772.98,333,923,Fairchild
5,2015,11,2,588753.66,82698.2,671451.86,644414.35,335,946,Fairchild
6,2015,12,2,919905.34,64847.4,984752.74,1061776.52,339,947,Fairchild
7,2015,1,3,472171.91,54395.79,526567.7,462893.1633,335,941,Fairchild
8,2015,2,3,461126.36,72024.12,533150.48,304060.08,340,948,Fairchild
9,2015,3,3,496735.06,53559.2,550294.26,627327.45,338,939,Fairchild
10,2015,4,3,801781.24,71242.23,873023.47,876315.3267,341,946,Fairchild
11,2015,5,3,387738.11,49007.1,436745.21,469051.8233,337,914,Fairchild
12,2015,6,3,776225.66,55011.01,831236.67,806478.2133,342,932,Fairchild
1,2016,7,3,306564.72,67570.05,374134.77,450891.52,344,945,Fairchild
2,2016,8,3,581050.96,44857.68,625908.64,688083.54,348,956,Fairchild
3,2016,9,3,541200.92,53440.39,594641.31,629848.05,348,950,Fairchild
4,2016,10,3,756821.72,87916.57,844738.29,920113.31,349,945,Fairchild
5,2016,11,3,714014.79,62933.33,776948.12,808213.25,356,951,Fairchild
6,2016,12,3,1767571.08,53950.57,1821521.65,1273372.84,356,953,Fairchild
7,2016,1,4,455010.21,90533.83,545544.04,629446.14,364,962,Fairchild
8,2016,2,4,401387.19,55335.65,456722.84,491662.49,367,960,Fairchild
9,2016,3,4,912317.34,68264.02,980581.36,1032213.54,376,974,Fairchild
10,2016,4,4,645380.91,141706.79,787087.7,874582.1,383,988,Fairchild
11,2016,5,4,692034.67,60744.6,752779.27,811454.73,390,999,Fairchild
12,2016,6,4,1087053.91,110958.65,1198012.56,1253796.49,389,1002,Fairchild
1,2017,7,4,660408.12,67965.71,728373.83,806071.49,389,992,Fairchild
2,2017,8,4,507202.06,63339.54,570541.6,584494.27,387,991,Fairchild
3,2017,9,4,759762.55,80705.68,840468.23,829461.68,384,993,Fairchild
4,2017,10,4,521922.89,83054.27,604977.16,685848.76,383,994,Fairchild
5,2017,11,4,669476.5,67109.26,736585.76,758036.76,385,1000,Fairchild
6,2017,12,4,856082.38,76706.22,932788.6,1016162.03,382,1008,Fairchild
7,2017,1,5,628692.34,82528.43,711220.77,801583.39,387,984,Fairchild
8,2017,2,5,721341.04,63029.95,784370.99,678927.6,387,984,Fairchild
9,2017,3,5,598171.38,89877.06,688048.44,732951.49,391,983,Fairchild
10,2017,4,5,918581.27,73874.84,992456.11,1084336.71,392,992,Fairchild
11,2017,5,5,725394.32,76987.05,802381.37,852230.27,391,983,Fairchild
12,2017,6,5,758120.58,87406.99,845527.57,936331.27,386,989,Fairchild
1,2018,7,5,590767.58,65823,656590.58,748474.58,393,1010,Fairchild
2,2018,8,5,817309.35,87240.72,904550.07,957925.36,398,1005,Fairchild
3,2018,9,5,502128.87,76395.81,578524.68,649681.8,399,1027,Fairchild
4,2018,10,5,641685.89,80173.15,721859.04,810392.2,398,1035,Fairchild
5,2018,11,5,790194.58,88909.54,879104.12,912461.02,394,1027,Fairchild
6,2018,12,5,1081414.16,90272.7,1171686.86,1264393.11,396,1025,Fairchild
7,2018,1,6,405474.02,65497.65,470971.67,551630.37,388,1056,Fairchild
8,2018,2,6,526046.52,74870.66,600917.18,681940.77,392,1077,Fairchild
9,2018,3,6,1227487.48,69308.92,1296796.4,1147334.51,400,1090,Fairchild
10,2018,4,6,381866.28,73729.73,455596.01,538741.79,399,1076,Fairchild
11,2018,5,6,1165990.19,62497.05,1228487.24,1199318.53,400,1079,Fairchild
12,2018,6,6,588776.2,92220.19,680996.39,623031.06,401,1087,Fairchild
1,2019,7,6,1070971.16,86639.12,1157610.28,1121650.79,406,1111,Fairchild
2,2019,8,6,753328.13,60223.88,813552.01,823547.68,411,1103,Fairchild
3,2019,9,6,1157950.49,120202,1278152.49,1360174.39,412,1113,Fairchild
4,2019,10,6,903055.54,104673.71,1007729.25,1092673.47,411,1106,Fairchild
5,2019,11,6,1254132.42,81359.79,1335492.21,1349504.4,406,1092,Fairchild
6,2019,12,6,1180118.95,103261.74,1283380.69,1367893.32,409,1099,Fairchild
7,2019,1,7,425329.82,80698.47,506028.29,593953.6333,407,1101,Fairchild
8,2019,2,7,840167.7,114853,955020.7,1043771.883,407,1099,Fairchild
9,2019,3,7,511235.85,85768.3,597004.15,612519.4933,407,1096,Fairchild
10,2019,4,7,647021.02,90517.4,737538.42,825888.2933,403,1092,Fairchild
11,2019,5,7,733902.47,119705.19,853607.66,873027.6133,396,1071,Fairchild
12,2019,6,7,723754.35,111650.54,835404.89,923123.7633,397,1092,Fairchild
1,2020,7,7,926300.61,89936,1016236.61,1104270.153,399,1083,Fairchild
2,2020,8,7,837809.79,118424.82,956234.61,972937.0033,400,1075,Fairchild
3,2020,9,7,861482.05,133930.02,995412.07,928513.2933,398,1080,Fairchild
4,2020,10,7,989590.46,96836.55,1086427.01,1130912.573,400,1083,Fairchild
5,2020,11,7,626559.96,119641.47,746201.43,740208.9833,400,1081,Fairchild
6,2020,12,7,1305194.67,104909.57,1410104.24,1488716.043,395,1075,Fairchild
7,2020,1,8,721630.31,89778.59,811408.9,828611.8067,398,1080,Fairchild
8,2020,2,8,741196.96,118730.71,859927.67,601649.9667,405,1089,Fairchild
9,2020,3,8,946799.72,87388.66,1034188.38,1131016.537,402,1077,Fairchild
10,2020,4,8,531228.01,132783.35,664011.36,759887.2167,397,1087,Fairchild
11,2020,5,8,1014804.88,104332.19,1119137.07,1134936.827,398,1085,Fairchild
12,2020,6,8,790107.72,108802.89,898910.61,996092.6467,406,1101,Fairchild
1,2021,7,8,1006474.43,129325.91,1135800.34,1233718.447,410,1112,Fairchild
2,2021,8,8,657011.42,104152,761163.42,777633.7467,412,1110,Fairchild
3,2021,9,8,877884.08,103599,981483.08,1079739.817,413,1111,Fairchild
4,2021,10,8,1281800.62,81133.6,1362934.22,1461695.287,415,1120,Fairchild
5,2021,11,8,1086894.23,159155,1246049.23,1256827.637,413,1115,Fairchild
6,2021,12,8,1106090.7,90318.24,1196408.94,1294598.087,416,1104,Fairchild
7,2021,1,9,526900.84,124894.16,651795,752330.4133,418,1134,Fairchild
8,2021,2,9,1281845.45,122992.02,1404837.47,1422842.303,417,1118,Fairchild
9,2021,3,9,818189.45,80248.68,898438.13,975171.8933,408,1085,Fairchild
10,2021,4,9,832091.94,122618.21,954710.15,1056279.703,410,1081,Fairchild
11,2021,5,9,699241.03,72709.11,771950.14,793564.3933,406,1070,Fairchild
12,2021,6,9,741062.44,113722.64,854785.08,955878.9933,409,1059,Fairchild
1,2022,7,9,792819.5,117947.37,910766.87,1010018.503,401,1065,Fairchild
2,2022,8,9,1025879.15,133187.9,1159067.05,1178186.303,403,1067,Fairchild
3,2022,9,9,1072494.32,89048.91,1161543.23,1261546.783,402,1056,Fairchild
4,2022,10,9,634140.65,122927.45,757068.1,857415.1333,406,1060,Fairchild
5,2022,11,9,866969.91,100845.67,967815.58,956362.0033,404,1049,Fairchild
6,2022,12,9,1675644.91,84771.37,1760416.28,1860982.953,408,1057,Fairchild
3,2013,1,1,640201.91,131620.24,771822.15,937904.81,816,1880,Henry Mayo
4,2013,2,1,345500.62,111050,456550.62,623618.28,821,1900,Henry Mayo
5,2013,3,1,273015,88596,361611,507125.66,827,1907,Henry Mayo
6,2013,4,1,402402.32,82699,485101.32,574986.75,830,1943,Henry Mayo
7,2013,5,1,758505.37,101989,860494.37,984913.36,837,1923,Henry Mayo
8,2013,6,1,381358,90886,472244,618923.66,834,1944,Henry Mayo
9,2013,7,1,732686.22,76680.88,809367.1,951391.79,846,1960,Henry Mayo
10,2013,8,1,479702.79,104956.18,584658.97,734031.63,846,1960,Henry Mayo
11,2013,9,1,348004.81,127226.41,475231.22,389054.77,850,1985,Henry Mayo
12,2013,10,1,607309.36,82179.03,689488.39,831210.01,863,1998,Henry Mayo
1,2014,11,1,455206.35,167297.94,622504.29,785059.95,862,1998,Henry Mayo
2,2014,12,1,475540.61,88371.08,563911.69,727817.35,872,2037,Henry Mayo
3,2014,1,2,486709.66,155530.5,642240.16,813747.06,902,2119,Henry Mayo
4,2014,2,2,412344.95,113270,525614.95,698455.61,906,2134,Henry Mayo
5,2014,3,2,895696.63,69279,964975.63,1054966.29,922,2158,Henry Mayo
6,2014,4,2,446881.63,95802.4,542684.03,701859.69,931,2189,Henry Mayo
7,2014,5,2,946684.46,95114.71,1041799.17,1199887.83,939,2200,Henry Mayo
8,2014,6,2,485269.19,152843.18,638112.37,764704.8,943,2212,Henry Mayo
9,2014,7,2,368754.09,158237.36,526991.45,688634.11,946,2220,Henry Mayo
10,2014,8,2,565889.04,143290.18,709179.22,744638.35,955,2252,Henry Mayo
11,2014,9,2,357963.7,106706.39,464670.09,608060.75,966,2246,Henry Mayo
12,2014,10,2,801770.32,125816.28,927586.6,1093304.26,971,2276,Henry Mayo
1,2015,11,2,415447.92,127261,542708.92,704770.58,969,2302,Henry Mayo
2,2015,12,2,506702.05,94569.5,601271.55,638953.05,980,2302,Henry Mayo
3,2015,1,3,716195.56,98355,814550.56,976520.45,1005,2375,Henry Mayo
4,2015,2,3,697611.19,159117.39,856728.58,956468.02,997,2369,Henry Mayo
5,2015,3,3,1658180.38,131002.46,1789182.84,1927216.34,1001,2415,Henry Mayo
6,2015,4,3,600030.49,132117.67,732148.16,711592.72,1009,2450,Henry Mayo
7,2015,5,3,1576623.73,111974.7,1688598.43,973815.01,1027,2479,Henry Mayo
8,2015,6,3,634123.93,108273.44,742397.37,63882.85,1042,2503,Henry Mayo
9,2015,7,3,849668.42,155680.42,1005348.84,1170717.84,1038,2478,Henry Mayo
10,2015,8,3,1060704.02,124798.05,1185502.07,1351359.07,1042,2501,Henry Mayo
11,2015,9,3,598379.69,171103.55,769483.24,901973.54,1047,2498,Henry Mayo
12,2015,10,3,1032236.84,150370.79,1182607.63,1282409.81,1055,2531,Henry Mayo
1,2016,11,3,796438.85,126034.18,922473.03,1089898.03,1078,2560,Henry Mayo
2,2016,12,3,947271.35,197912.07,1145183.42,1276851.82,1081,2563,Henry Mayo
3,2016,1,4,759023.24,145412.01,904435.25,992700.05,1083,2550,Henry Mayo
4,2016,2,4,1245146.96,108594.2,1353741.16,1531674.16,1088,2561,Henry Mayo
5,2016,3,4,720113.16,127748.38,847861.54,583697.55,1110,2591,Henry Mayo
6,2016,4,4,887822.47,224192.76,1112015.23,1243812.41,1127,2592,Henry Mayo
7,2016,5,4,1080933.78,165971.43,1246905.21,1142090.2,1122,2588,Henry Mayo
8,2016,6,4,462183.88,199366.24,661550.12,686654.04,1139,2603,Henry Mayo
9,2016,7,4,797172.31,187874.64,985046.95,1036982.67,1140,2591,Henry Mayo
10,2016,8,4,695377.04,161495.04,856872.08,1012774.08,1144,2617,Henry Mayo
11,2016,9,4,753910.98,194532.61,948443.59,994272.2,1156,2627,Henry Mayo
12,2016,10,4,1063462.56,157761.74,1221224.3,1379170.3,1161,2635,Henry Mayo
1,2017,11,4,635226.57,301113.76,936340.33,1032438.84,1166,2684,Henry Mayo
2,2017,12,4,589857.1,298473.05,888330.15,932803.21,1187,2687,Henry Mayo
3,2017,1,5,675363.51,359795.75,1035159.26,1064749.61,1206,2768,Henry Mayo
4,2017,2,5,692211.32,286218.33,978429.65,1138165.65,1217,2781,Henry Mayo
5,2017,3,5,690136.07,145811.62,835947.69,482760.92,1215,2808,Henry Mayo
6,2017,4,5,727166.14,202684.64,929850.78,1064817.78,1214,2789,Henry Mayo
7,2017,5,5,950700.41,172359.15,1123059.56,1204223.19,1221,2833,Henry Mayo
8,2017,6,5,566002.62,188399.59,754402.21,888507.69,1231,2845,Henry Mayo
9,2017,7,5,497944.97,265312.29,763257.26,875723.9,1230,2854,Henry Mayo
10,2017,8,5,1267783.94,141255.03,1409038.97,1547046.97,1238,2892,Henry Mayo
11,2017,9,5,621317.04,172287.62,793604.66,731315.08,1251,2903,Henry Mayo
12,2017,10,5,1201915.34,239934.85,1441850.19,1581248.19,1253,2915,Henry Mayo
1,2018,11,5,579645.22,158472.1,738117.32,879302.32,1271,2932,Henry Mayo
2,2018,12,5,814430.42,246211.27,1060641.69,1039164.06,1274,2907,Henry Mayo
3,2018,1,6,726484.09,207348.21,933832.3,1072827.863,1316,3002,Henry Mayo
4,2018,2,6,968968.61,239488.32,1208456.93,1358970.263,1309,2938,Henry Mayo
5,2018,3,6,773876.88,239496.88,1013373.76,1032279.043,1274,2911,Henry Mayo
6,2018,4,6,988799.97,205440.27,1194240.24,1337083.573,1225,2779,Henry Mayo
7,2018,5,6,2071690.28,215257.31,2286947.59,1992041.993,1220,2759,Henry Mayo
8,2018,6,6,794796.76,209837.9,1004634.66,871106.5233,1218,2750,Henry Mayo
9,2018,7,6,669951.52,257245.84,927197.36,507153.4233,1204,2723,Henry Mayo
10,2018,8,6,849435.97,190383.63,1039819.6,1180185.933,1205,2723,Henry Mayo
11,2018,9,6,875347.47,180892.82,1056240.29,1048857.863,1213,2729,Henry Mayo
12,2018,10,6,750528.29,208771.28,959299.57,1099612.903,1210,2727,Henry Mayo
1,2019,11,6,852675.33,161317,1013992.33,1154668.663,1211,2728,Henry Mayo
2,2019,12,6,967792.29,227359.25,1195151.54,1137495.183,1199,2708,Henry Mayo
3,2019,1,7,1190405.63,210864.9,1401270.53,1491127.463,1200,2704,Henry Mayo
4,2019,2,7,299258.82,152892.74,452151.56,551588.8333,1208,2786,Henry Mayo
5,2019,3,7,1215216.58,144229.02,1359445.6,1265068.403,1208,2759,Henry Mayo
6,2019,4,7,932921.22,214549.78,1147471,1297021.333,1209,2755,Henry Mayo
7,2019,5,7,1086222.24,190920.74,1277142.98,1426325.313,1204,2763,Henry Mayo
8,2019,6,7,513811.12,171653.19,685464.31,645585.3933,1189,2759,Henry Mayo
9,2019,7,7,842766.47,244794.3,1087560.77,1187316.103,1189,2764,Henry Mayo
10,2019,8,7,1017868.14,171229.22,1189097.36,1337397.693,1185,2755,Henry Mayo
11,2019,9,7,657748.01,221375.93,879123.94,895980.3333,1175,2754,Henry Mayo
12,2019,10,7,642244.8,215092.94,857337.74,1004016.073,1167,2735,Henry Mayo
1,2020,11,7,849092.58,176374.23,1025466.81,1172194.143,1166,2743,Henry Mayo
2,2020,12,7,687619.24,294284.51,981903.75,941460.1233,1158,2754,Henry Mayo
3,2020,1,8,708806.09,186835.28,895641.37,1050800.703,1201,2821,Henry Mayo
4,2020,2,8,743533.58,187448.98,930982.56,1085685.893,1196,2819,Henry Mayo
5,2020,3,8,701589,252708.22,954297.22,677190.0533,1195,2838,Henry Mayo
6,2020,4,8,884341.36,193972.46,1078313.82,1158845.363,1155,2852,Henry Mayo
7,2020,5,8,950742.76,153856.47,1104599.23,1258429.563,1139,2701,Henry Mayo
8,2020,6,8,523768.14,206953.88,730722.02,750330.9433,1143,2690,Henry Mayo
9,2020,7,8,971054.94,159309.2,1130364.14,1283152.473,1134,2661,Henry Mayo
10,2020,8,8,685397.97,203118.48,888516.45,1039470.783,1119,2650,Henry Mayo
11,2020,9,8,456863.16,203509.55,660372.71,672240.5133,1116,2632,Henry Mayo
12,2020,10,8,719008.47,169678.01,888686.48,1040773.813,1130,2656,Henry Mayo
1,2021,11,8,650152.06,205884.84,856036.9,706454.9333,1147,2681,Henry Mayo
2,2021,12,8,458650.99,165955.95,624606.94,661018.9233,1130,2653,Henry Mayo
3,2021,1,9,577774.28,161977.92,739752.2,894865.8667,1153,2672,Henry Mayo
4,2021,2,9,607976.84,149694.47,757671.31,912545.9767,1150,2688,Henry Mayo
5,2021,3,9,830031.75,234316.05,1064347.8,968394.1267,1153,2670,Henry Mayo
6,2021,4,9,911152.51,155776.57,1066929.08,1204824.747,1134,2642,Henry Mayo
7,2021,5,9,970168.51,136501.3,1106669.81,1244836.477,1141,2634,Henry Mayo
8,2021,6,9,614990.77,202346.51,817337.28,820174.5933,1154,2612,Henry Mayo
9,2021,7,9,1041504.31,165301.43,1206805.74,1347348.073,1141,2623,Henry Mayo
10,2021,8,9,999274.78,177167.55,1176442.33,1316107.663,1137,2608,Henry Mayo
11,2021,9,9,974159.1,204518.01,1178677.11,1179069.683,1151,2598,Henry Mayo
12,2021,10,9,1145384.03,187277.88,1332661.91,1477181.243,1184,2650,Henry Mayo
1,2022,11,9,834147.21,194152.51,1028299.72,1174145.053,1192,2708,Henry Mayo
2,2022,12,9,999643.98,179194.54,1178838.52,1181464.273,1214,2729,Henry Mayo
1,2015,1,1,1124682.97,397849.95,1522532.92,1728335.133,2690,6146,Huntington Memorial Hospital
2,2015,2,1,1355168.89,503271.97,1858440.86,1996947.36,2716,6111,Huntington Memorial Hospital
3,2015,3,1,1394896.66,406481.14,1801377.8,2005827.037,2706,6133,Huntington Memorial Hospital
4,2015,4,1,1741592.3,533681.67,2275273.97,2484966.243,2699,6113,Huntington Memorial Hospital
5,2015,5,1,1576912.2,451070.89,2027983.09,2169333.65,2683,6114,Huntington Memorial Hospital
6,2015,6,1,1373930.19,371678.37,1745608.56,1952692.053,2675,6092,Huntington Memorial Hospital
7,2015,7,1,1495468.25,559524.46,2054992.71,2255579.7,2703,6075,Huntington Memorial Hospital
8,2015,8,1,1340767.24,417804.76,1758572,1854535.083,2710,6089,Huntington Memorial Hospital
9,2015,9,1,1291479.56,467987.98,1759467.54,1968379.997,2705,6073,Huntington Memorial Hospital
10,2015,10,1,1919742.47,461266.44,2381008.91,2437335.33,2717,6108,Huntington Memorial Hospital
11,2015,11,1,1342589.07,445471.09,1788060.16,1891604.997,2732,6103,Huntington Memorial Hospital
12,2015,12,1,2416082.95,524019.54,2940102.49,2978867.19,2711,6105,Huntington Memorial Hospital
1,2016,1,2,1162253.02,449875.53,1612128.55,1818295.7,2781,6256,Huntington Memorial Hospital
2,2016,2,2,1298969.65,399173.7,1698143.35,1816535.41,2819,6297,Huntington Memorial Hospital
3,2016,3,2,1877098.97,584449.29,2461548.26,2682326.17,2832,6339,Huntington Memorial Hospital
4,2016,4,2,1805771.25,499652.6,2305423.85,2522405.42,2876,6349,Huntington Memorial Hospital
5,2016,5,2,1467442.19,479872.03,1947314.22,2060209.19,2894,6406,Huntington Memorial Hospital
6,2016,6,2,1914165.62,601114.84,2515280.46,2718079.06,2923,6443,Huntington Memorial Hospital
7,2016,7,2,1627899.88,495456.52,2123356.4,2343154.3,2931,6490,Huntington Memorial Hospital
8,2016,8,2,1895418.99,569976.12,2465395.11,2487393.75,2992,6606,Huntington Memorial Hospital
9,2016,9,2,1683148.43,503177.52,2186325.95,2412635.52,2996,6595,Huntington Memorial Hospital
10,2016,10,2,1526568.19,495044.74,2021612.93,2251443.8,2997,6595,Huntington Memorial Hospital
11,2016,11,2,2199486.75,609268.85,2808755.6,2827145.59,2987,6550,Huntington Memorial Hospital
12,2016,12,2,2602727,472858.89,3075585.89,3202504.89,3001,6523,Huntington Memorial Hospital
1,2017,1,3,1263663.73,451547.9,1715211.63,1931643.5,3020,6623,Huntington Memorial Hospital
2,2017,2,3,1685559.97,534310.83,2219870.8,2241934.91,3067,6673,Huntington Memorial Hospital
3,2017,3,3,2262543.47,626739.72,2889283.19,3110224.96,3088,6723,Huntington Memorial Hospital
4,2017,4,3,1821151.42,522114.96,2343266.38,2551678.89,3099,6766,Huntington Memorial Hospital
5,2017,5,3,1673507.6,571197.26,2244704.86,1986017.5,3014,6776,Huntington Memorial Hospital
6,2017,6,3,1762898.56,479143.81,2242042.37,2417093.12,3125,6745,Huntington Memorial Hospital
7,2017,7,3,1876948.5,557056.21,2434004.71,2641889.93,3127,6816,Huntington Memorial Hospital
8,2017,8,3,2426125.58,608612.41,3034737.99,2918397.66,3107,6769,Huntington Memorial Hospital
9,2017,9,3,2149700.3,512751.46,2662451.76,2367199.35,3107,6759,Huntington Memorial Hospital
10,2017,10,3,1768279.84,593315.23,2361595.07,2529862.5,3112,6743,Huntington Memorial Hospital
11,2017,11,3,2057648.79,677497.34,2735146.13,2615211.88,3112,6752,Huntington Memorial Hospital
12,2017,12,3,3385453.57,582700.11,3968153.68,3716401.77,3116,6730,Huntington Memorial Hospital
1,2018,1,4,1240380.71,694101.24,1934481.95,2094247.31,3123,6784,Huntington Memorial Hospital
2,2018,2,4,1227968,534897.28,1762865.28,1283699.89,3099,6703,Huntington Memorial Hospital
3,2018,3,4,2058419.69,535853.51,2594273.2,2830805.93,3102,6756,Huntington Memorial Hospital
4,2018,4,4,1557601.01,571721.79,2129322.8,2365538.61,3135,6809,Huntington Memorial Hospital
5,2018,5,4,2348896.05,678895.69,3027791.74,2678395.53,3143,6781,Huntington Memorial Hospital
6,2018,6,4,1607076.57,586367.34,2193443.91,2431141.1,3123,6786,Huntington Memorial Hospital
7,2018,7,4,1892703.55,551142,2443845.55,2717453.73,3116,6734,Huntington Memorial Hospital
8,2018,8,4,1653157.87,664019.82,2317177.69,2226621.27,3098,6727,Huntington Memorial Hospital
9,2018,9,4,1764023.8,518156,2282179.8,2515557.09,3109,6755,Huntington Memorial Hospital
10,2018,10,4,2294424.13,699967.51,2994391.64,3229956.03,3109,6740,Huntington Memorial Hospital
11,2018,11,4,2197094.82,556277,2753371.82,2593293.71,3117,6729,Huntington Memorial Hospital
12,2018,12,4,2339706.13,581309.73,2921015.86,3155702.01,3107,6772,Huntington Memorial Hospital
1,2019,1,5,1575023.5,698954.69,2273978.19,2534473.62,3108,6749,Huntington Memorial Hospital
2,2019,2,5,1758365.22,606861.38,2365226.6,2100177.56,3107,6727,Huntington Memorial Hospital
3,2019,3,5,1828326.57,603349.69,2431676.26,2680812.81,3110,6745,Huntington Memorial Hospital
4,2019,4,5,1938687.71,621707.12,2560394.83,2767133.84,3110,6709,Huntington Memorial Hospital
5,2019,5,5,2211815.55,774737.34,2986552.89,2808063.25,3096,6697,Huntington Memorial Hospital
6,2019,6,5,1747979.53,595538.48,2343518.01,2600788.67,3095,6703,Huntington Memorial Hospital
7,2019,7,5,1782278.34,793606.88,2575885.22,2878821.14,3096,6686,Huntington Memorial Hospital
8,2019,8,5,2181522.79,689168.97,2870691.76,2695406.69,3073,6680,Huntington Memorial Hospital
9,2019,9,5,1463787.59,596102.99,2059890.58,2317461.66,3077,6662,Huntington Memorial Hospital
10,2019,10,5,2924799.93,757368.5,3682168.43,3936701.39,3074,6658,Huntington Memorial Hospital
11,2019,11,5,2467800.2,574130.37,3041930.57,2878180.88,3051,6645,Huntington Memorial Hospital
12,2019,12,5,6386704.82,596251.07,6982955.89,7005885.94,3055,6593,Huntington Memorial Hospital
1,2020,1,6,2899354.78,701351.66,3600706.44,3218521.13,2995,6510,Huntington Memorial Hospital
2,2020,2,6,1680975.41,643501.61,2324477.02,2151594.8,2988,6510,Huntington Memorial Hospital
3,2020,3,6,1917472.16,743143.33,2660615.49,2939972.45,2985,6496,Huntington Memorial Hospital
4,2020,4,6,1349979.83,760335.76,2110315.59,2351971.58,3005,6536,Huntington Memorial Hospital
5,2020,5,6,1961254.61,634211.01,2595465.62,2471977.09,3011,6521,Huntington Memorial Hospital
6,2020,6,6,1810620.88,708903.57,2519524.45,2792858.54,3024,6535,Huntington Memorial Hospital
7,2020,7,6,2182151.67,753458.49,2935610.16,3163070.45,3021,6533,Huntington Memorial Hospital
8,2020,8,6,2114325.83,708091.66,2822417.49,2575127.08,3005,6478,Huntington Memorial Hospital
9,2020,9,6,1488127.09,765347.96,2253475.05,2389029.51,3017,6513,Huntington Memorial Hospital
10,2020,10,6,2208147.06,665631,2873778.06,2902659.42,3015,6489,Huntington Memorial Hospital
11,2020,11,6,1553705.69,644551.68,2198257.37,2089038.8,3004,6442,Huntington Memorial Hospital
12,2020,12,6,2861395.52,739085.2,3600480.72,3278526.63,2979,6361,Huntington Memorial Hospital
1,2021,1,7,1443076.09,564622.5,2007698.59,2312209.86,2993,6374,Huntington Memorial Hospital
2,2021,2,7,1102040.65,702830.21,1804870.86,1722482.16,2966,6368,Huntington Memorial Hospital
3,2021,3,7,1894436.01,776723.49,2671159.5,2971313.94,2976,6366,Huntington Memorial Hospital
4,2021,4,7,2769443.12,648099,3417542.12,3722996.23,2990,6345,Huntington Memorial Hospital
5,2021,5,7,2318501.74,662712.8,2981214.54,2910244.25,2987,6343,Huntington Memorial Hospital
6,2021,6,7,1798961.55,722683.15,2521644.7,2826868.41,2990,6349,Huntington Memorial Hospital
7,2021,7,7,3538096.91,628890.16,4166987.07,4178253.67,2979,6333,Huntington Memorial Hospital
8,2021,8,7,2669703.73,596271.12,3265974.85,3203397.66,2963,6313,Huntington Memorial Hospital
9,2021,9,7,2191294.39,760891.59,2952185.98,3272340.96,2960,6298,Huntington Memorial Hospital
10,2021,10,7,2196997.51,589778.83,2786776.34,3084200.32,2956,6288,Huntington Memorial Hospital
11,2021,11,7,2762445.93,686781.44,3449227.37,3327077.162,2949,6237,Huntington Memorial Hospital
12,2021,12,7,2820326.71,706389.05,3526715.76,3389081.468,2943,6241,Huntington Memorial Hospital
1,2022,1,8,1528239.68,556678.24,2084917.92,2392028.71,2958,6217,Huntington Memorial Hospital
2,2022,2,8,2185981.32,591170.95,2777152.27,2733587.11,2905,6213,Huntington Memorial Hospital
3,2022,3,8,2215094,744785.46,2959879.46,3265668.03,2919,6229,Huntington Memorial Hospital
4,2022,4,8,1977323.88,623228.09,2600551.97,2906449.88,2914,6169,Huntington Memorial Hospital
5,2022,5,8,2032936.8,581326.28,2614263.08,2471169.69,2898,6197,Huntington Memorial Hospital
6,2022,6,8,2129566.82,767040.06,2896606.88,3208665.98,2922,6184,Huntington Memorial Hospital
11,2013,1,1,1740742.04,109928.81,1850670.85,1985545.688,1055,2553,Marshall
12,2013,2,1,2597689.04,115426.09,2713115.13,2659642.388,1052,2543,Marshall
